,compound
830,0.4588
831,0.3182
832,-0.0572
833,0.0
834,0.0258
835,0.0
836,0.5093
837,0.9136
838,0.8957
839,0.4404
840,0.34
841,-0.4767
842,0.5093
843,-0.6597
844,0.0
845,0.3786
846,0.0
847,0.8316
848,0.0
849,0.2023
850,0.0
851,0.0
852,0.5837
853,0.0
854,0.9168
855,0.9133
856,-0.4939
857,0.9432
858,0.9413
859,0.9246
860,0.128
861,0.3612
862,0.3612
863,0.3612
864,0.3612
865,-0.2023
866,0.128
867,0.3612
868,0.3612
869,0.3612
870,0.3612
871,-0.2023
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,-0.8122
879,-0.8122
880,-0.8122
881,-0.8122
882,-0.8122
883,0.0772
884,0.3612
885,0.0
886,0.4588
887,0.0
888,0.0
889,0.3182
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.3612
900,0.0
901,0.0
902,0.2263
903,0.0
904,0.2075
905,0.4404
906,-0.5106
907,0.0
908,0.0
909,0.0
910,0.0
911,0.5106
912,-0.0772
913,0.0
914,0.0
915,0.0
916,-0.296
917,0.2732
918,0.4939
919,0.0
920,0.0
921,0.0
922,-0.296
923,0.2732
924,0.4939
925,0.0
926,0.0258
927,0.7445
928,0.0258
929,0.5994
930,0.0258
931,0.4459
932,0.0
933,0.4092
934,0.7783
935,0.4404
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.6671
944,0.6808
945,0.4588
946,0.9097
947,0.3612
948,0.8658
949,0.3818
950,0.0
951,0.7901
952,0.0
953,0.6369
954,0.0
955,0.0
956,0.3612
957,0.3612
958,0.3612
959,0.3612
960,0.3612
961,0.3612
962,0.0
963,0.5859
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.4767
970,-0.0516
971,0.0
972,0.0
973,-0.3612
974,0.0
975,0.4767
976,-0.0516
977,0.0
978,0.0
979,-0.3612
980,-0.5423
981,0.0
982,0.8398
983,0.4404
984,0.4588
985,0.4588
986,-0.4767
987,0.3382
988,-0.8555
989,-0.4767
990,0.0
991,-0.5242
992,0.8934
993,0.7712
994,0.4926
995,-0.4199
996,0.4404
997,-0.4199
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.34
1003,0.0
1004,0.7845
1005,0.0
1006,0.3182
1007,0.4588
1008,-0.8625
1009,0.0
1010,0.4336
1011,-0.3182
1012,0.4215
1013,0.0
1014,0.4966
1015,0.0
1016,0.0516
1017,0.2023
1018,0.0
1019,0.3919
1020,0.4215
1021,0.7712
1022,0.0
1023,0.0
1024,0.7184
1025,0.0
1026,0.0
1027,0.5267
1028,0.0
1029,0.0
1030,0.7184
1031,0.0
1032,0.0
1033,0.5267
1034,-0.34
1035,0.0
1036,0.1531
1037,-0.4588
1038,-0.34
1039,0.0
1040,0.6808
1041,0.0
1042,0.6705
1043,0.7351
1044,0.8402
1045,-0.34
1046,0.0
1047,0.0
1048,0.0
1049,-0.7351
1050,0.4404
1051,0.4404
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.8519
1058,0.0
1059,0.0
1060,0.9428
1061,0.0
1062,0.0
1063,0.4215
1064,0.0
1065,0.0
1066,0.69
1067,0.0
1068,0.8356
1069,0.5081
1070,0.0772
1071,-0.0243
1072,-0.5267
1073,-0.4939
1074,0.0
1075,0.3612
1076,-0.0194
1077,0.4588
1078,0.0
1079,0.0
1080,0.0
1081,0.0
1082,-0.0194
1083,0.4588
1084,0.0
1085,0.0
1086,0.0
1087,0.0
1088,0.4588
1089,0.6901
1090,0.0
1091,0.4939
1092,-0.4767
1093,0.0
1094,0.3612
1095,0.6808
1096,0.2714
1097,-0.5984
1098,-0.4003
1099,-0.0772
1100,0.7184
1101,0.0
1102,0.4404
1103,0.5859
1104,0.0
1105,0.3818
1106,-0.4515
1107,-0.2023
1108,0.7655
1109,0.7906
1110,0.0
1111,-0.4497
1112,0.5994
1113,0.5994
1114,0.5994
1115,0.3612
1116,0.25
1117,0.0
1118,-0.6369
1119,0.3612
1120,0.2023
1121,0.4939
1122,-0.4939
1123,0.0
1124,0.0
1125,0.0
1126,0.6344
1127,0.4019
1128,0.4215
1129,0.7003
1130,-0.6124
1131,0.872
1132,0.4588
1133,0.0
1134,0.0
1135,0.8225
1136,-0.6124
1137,0.872
1138,0.4588
1139,0.0
1140,0.0
1141,0.8225
1142,0.3182
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.4404
1150,0.4404
1151,0.4404
1152,0.4404
1153,0.4404
1154,0.4404
1155,0.3818
1156,0.9349
1157,0.5106
1158,0.4404
1159,0.4404
1160,-0.4404
1161,0.0
1162,0.2263
1163,0.5095
1164,0.0
1165,-0.7003
1166,0.4588
1167,0.4588
1168,0.4588
1169,0.4588
1170,0.4588
1171,0.4588
1172,0.6369
1173,0.6597
1174,0.0
1175,0.6597
1176,0.6597
1177,0.0
1178,-0.4019
1179,-0.3818
1180,0.0
1181,-0.0194
1182,0.4588
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,-0.0194
1188,0.4588
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.4588
1194,0.6901
1195,0.0
1196,0.4939
1197,-0.4767
1198,0.0
1199,0.3612
1200,0.6808
1201,0.2714
1202,-0.5984
1203,-0.4003
1204,-0.0772
1205,0.7184
1206,0.0
1207,0.4404
1208,0.5859
1209,0.0
1210,0.3818
1211,-0.4515
1212,-0.2023
1213,0.7655
1214,0.7906
1215,0.0
1216,-0.4497
1217,0.5994
1218,0.5994
1219,0.5994
1220,0.3612
1221,0.25
1222,0.0
1223,-0.6369
1224,0.3612
1225,0.2023
1226,0.4939
1227,-0.4939
1228,0.0
1229,0.0
1230,0.0
1231,0.6344
1232,0.4019
1233,0.4215
1234,0.7003
1235,0.0
1236,-0.4767
1237,0.6956
1238,0.0
1239,-0.4767
1240,0.0
1241,0.0
1242,-0.4767
1243,0.6956
1244,0.0
1245,-0.4767
1246,0.0
1247,-0.0772
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,-0.508
1253,0.296
1254,0.0
1255,0.0
1256,0.0
1257,0.3612
1258,-0.3802
1259,0.0
1260,0.4753
1261,0.6808
1262,-0.5562
1263,0.5067
1264,0.4404
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,0.5949
1270,0.0
1271,0.0
1272,0.0
1273,0.5994
1274,-0.0772
1275,0.0
1276,0.4939
1277,0.4939
1278,0.0
1279,0.5493
1280,0.6705
1281,0.4939
1282,0.4767
1283,-0.4939
1284,0.6588
1285,0.0
1286,0.3382
1287,0.659
1288,0.128
1289,0.3612
1290,0.3612
1291,0.3612
1292,0.3612
1293,-0.2023
1294,0.128
1295,0.3612
1296,0.3612
1297,0.3612
1298,0.3612
1299,-0.2023
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,-0.8122
1307,-0.8122
1308,-0.8122
1309,-0.8122
1310,-0.8122
1311,0.0772
1312,0.3612
1313,0.0
1314,0.4588
1315,0.0
1316,0.0
1317,0.3182
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.3612
1328,0.0
1329,0.0
1330,0.2263
1331,0.0
1332,0.2075
1333,0.4404
1334,-0.5106
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.5106
1340,-0.0772
1341,0.0
1342,-0.296
1343,0.0
1344,-0.296
1345,-0.296
1346,0.0
1347,-0.296
1348,-0.296
1349,0.0
1350,-0.296
1351,-0.296
1352,0.0
1353,-0.296
1354,0.0
1355,0.8625
1356,0.4753
1357,0.296
1358,0.5949
1359,0.1511
1360,0.7717
1361,0.0
1362,0.4215
1363,-0.2023
1364,0.802
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,-0.3818
1370,-0.5106
1371,0.3612
1372,0.5267
1373,0.0
1374,0.0
1375,0.3164
1376,-0.8074
1377,0.0
1378,0.0
1379,-0.3818
1380,0.0
1381,0.5719
1382,0.0
1383,0.4588
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.8316
1390,0.0
1391,0.0
1392,-0.34
1393,0.4588
1394,0.1779
1395,0.128
1396,0.3612
1397,0.3612
1398,0.3612
1399,0.3612
1400,-0.2023
1401,0.128
1402,0.3612
1403,0.3612
