,compound
1092,-0.4767
1093,0.0
1094,0.3612
1095,0.6808
1096,0.2732
1097,-0.1779
1098,-0.296
1099,0.0
1100,0.6124
1101,0.0
1102,0.4404
1103,0.6124
1104,0.0
1105,0.3182
1106,-0.3818
1107,0.0
1108,0.7506
1109,0.6369
1110,0.0
1111,0.0
1112,0.0
1113,0.0
1114,0.0
1115,0.3612
1116,0.0
1117,0.0
1118,-0.7003
1119,0.3612
1120,0.2023
1121,0.4404
1122,-0.4939
1123,0.0
1124,0.0
1125,0.0
1126,0.5994
1127,0.3182
1128,0.4215
1129,0.4215
1130,-0.836
1131,0.6124
1132,0.3612
1133,0.0
1134,0.0
1135,0.5994
1136,-0.836
1137,0.6124
1138,0.3612
1139,0.0
1140,0.0
1141,0.5994
1142,0.0
1143,0.0
1144,0.0
1145,0.0
1146,0.0
1147,0.0
1148,0.0
1149,0.5859
1150,0.5859
1151,0.5859
1152,0.5859
1153,0.5859
1154,0.3612
1155,0.3818
1156,0.8885
1157,0.5106
1158,0.3612
1159,0.3612
1160,0.0
1161,0.0
1162,0.2263
1163,0.3612
1164,0.0
1165,-0.7003
1166,0.5267
1167,0.5267
1168,0.5267
1169,0.5267
1170,0.5267
1171,0.5267
1172,0.4404
1173,0.6597
1174,0.0
1175,0.6597
1176,0.6597
1177,0.0
1178,-0.3818
1179,-0.3818
1180,0.0
1181,-0.2187
1182,0.3612
1183,0.0
1184,0.0
1185,0.0
1186,0.0
1187,-0.2187
1188,0.3612
1189,0.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.802
1195,0.0
1196,0.0
1197,-0.4767
1198,0.0
1199,0.3612
1200,0.6808
1201,0.2732
1202,-0.1779
1203,-0.296
1204,0.0
1205,0.6124
1206,0.0
1207,0.4404
1208,0.6124
1209,0.0
1210,0.3182
1211,-0.3818
1212,0.0
1213,0.7506
1214,0.6369
1215,0.0
1216,0.0
1217,0.0
1218,0.0
1219,0.0
1220,0.3612
1221,0.0
1222,0.0
1223,-0.7003
1224,0.3612
1225,0.2023
1226,0.4404
1227,-0.4939
1228,0.0
1229,0.0
1230,0.0
1231,0.5994
1232,0.3182
1233,0.4215
1234,0.4215
1235,0.0
1236,-0.4767
1237,0.2732
1238,0.0
1239,-0.4767
1240,0.0
1241,0.0
1242,-0.4767
1243,0.2732
1244,0.0
1245,-0.4767
1246,0.0
1247,0.4767
1248,0.0
1249,0.0
1250,0.0
1251,0.0
1252,-0.4019
1253,0.296
1254,0.0
1255,0.0
1256,0.0
1257,0.0
1258,-0.34
1259,0.0
1260,0.4215
1261,0.7184
1262,0.0
1263,0.0
1264,0.2732
1265,0.0
1266,0.0
1267,0.0
1268,0.0
1269,-0.357
1270,0.0
1271,0.0
1272,0.0
1273,0.5994
1274,0.0
1275,0.0
1276,0.5574
1277,0.4939
1278,0.0
1279,0.3063
1280,0.3612
1281,0.5574
1282,0.5423
1283,-0.128
1284,0.6249
1285,0.0
1286,0.0
1287,0.2732
1288,0.0772
1289,0.0
1290,0.0
1291,0.0
1292,-0.34
1293,-0.5106
1294,0.0772
1295,0.0
1296,0.0
1297,0.0
1298,-0.34
1299,-0.5106
1300,0.0
1301,0.0
1302,0.0
1303,0.0
1304,0.0
1305,0.0
1306,-0.5859
1307,-0.5859
1308,-0.5859
1309,-0.5859
1310,-0.5859
1311,0.0
1312,0.0258
1313,0.0
1314,0.4019
1315,0.0
1316,0.0
1317,0.3182
1318,0.0
1319,0.0
1320,0.0
1321,0.0
1322,0.0772
1323,0.0
1324,0.0
1325,0.0
1326,0.0
1327,0.3612
1328,0.0
1329,0.0
1330,0.4215
1331,0.0
1332,0.2732
1333,0.4404
1334,-0.5106
1335,0.0
1336,0.0
1337,0.0
1338,0.0
1339,0.5106
1340,0.0
1341,0.0
1342,0.0
1343,0.0
1344,0.0
1345,0.0
1346,0.0
1347,0.0
1348,0.0
1349,0.0
1350,0.0
1351,0.0
1352,0.0
1353,0.0
1354,0.0
1355,0.6369
1356,0.4215
1357,0.296
1358,0.4588
1359,0.0
1360,0.7184
1361,0.0
1362,0.3612
1363,0.0
1364,0.7717
1365,0.0
1366,0.0
1367,0.0
1368,0.0
1369,-0.3818
1370,-0.5106
1371,0.3612
1372,0.0
1373,0.0
1374,0.0
1375,0.25
1376,-0.7003
1377,0.0
1378,0.25
1379,-0.3818
1380,0.0
1381,0.0
1382,0.0
1383,0.4588
1384,0.0
1385,0.0
1386,0.0
1387,0.0
1388,0.0
1389,0.7783
1390,0.0
1391,0.0
1392,-0.34
1393,0.3612
1394,-0.128
1395,0.0772
1396,0.0
1397,0.0
1398,0.0
1399,-0.34
1400,-0.5106
1401,0.0772
1402,0.0
1403,0.0
1404,0.0
1405,-0.34
1406,-0.5106
1407,0.0
1408,0.0
1409,0.0
1410,0.0
1411,0.0
1412,0.0
1413,-0.5859
1414,-0.5859
1415,-0.5859
1416,-0.5859
1417,-0.5859
1418,0.0
1419,0.0258
1420,0.0
1421,0.4019
1422,0.0
1423,0.0
1424,0.3182
1425,0.0
1426,0.0
1427,0.0
1428,0.0
1429,0.0772
1430,0.0
1431,0.0
1432,0.0
1433,0.0
1434,0.3612
1435,0.0
1436,0.0
1437,0.4215
1438,0.0
1439,0.2732
1440,0.4404
1441,-0.5106
1442,0.0
1443,0.0
1444,0.0
1445,0.0
1446,0.5106
1447,0.0
1448,0.0
1449,0.0
1450,0.0
1451,0.0
1452,0.6369
1453,0.0
1454,0.0
1455,0.0
1456,0.0
1457,0.0
1458,0.6369
1459,0.0
1460,0.0
1461,0.4404
1462,0.0
1463,0.0
1464,0.0
1465,0.0
1466,0.0
1467,0.4939
1468,0.0
1469,0.4404
1470,0.0
1471,-0.5719
1472,0.0
1473,0.3818
1474,0.0
1475,0.0
1476,-0.2023
1477,0.0
1478,0.0
1479,0.0
1480,0.0
1481,0.0
1482,0.0
1483,0.0
1484,0.296
1485,0.0
1486,0.0
1487,0.1779
1488,0.0
1489,-0.5106
1490,0.0
1491,0.4767
1492,0.2584
1493,0.0
1494,0.0
1495,0.0
1496,-0.34
1497,0.5574
1498,0.2259
1499,0.5994
1500,0.5719
1501,0.0
1502,0.0
1503,0.3612
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.3612
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.6369
1516,0.891
1517,0.5719
1518,0.5859
1519,0.4404
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.3612
1525,0.0
1526,0.0
1527,-0.34
1528,0.6705
1529,0.1139
1530,0.4215
1531,0.6369
1532,0.8689
1533,0.5859
1534,0.7269
1535,0.5859
1536,0.7845
1537,0.0
1538,0.0
1539,0.5859
1540,0.3612
1541,0.5859
1542,0.5859
1543,0.5859
1544,0.7717
1545,0.6808
1546,0.0
1547,0.4939
1548,-0.3724
1549,0.0
1550,0.0
1551,0.0
1552,0.5859
1553,0.0
1554,0.5859
1555,0.0
1556,0.5859
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.3612
1574,0.9001
1575,0.6369
1576,0.4215
1577,0.4215
1578,0.8481
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.3612
1586,0.0
1587,0.0
1588,0.3612
1589,0.3612
1590,0.0
1591,0.4939
1592,0.0
1593,0.6249
1594,0.4215
1595,0.0
1596,0.0
1597,0.4588
1598,0.128
1599,-0.7964
1600,0.0
1601,-0.0516
1602,0.9584
1603,0.7269
1604,0.3612
1605,0.4939
1606,0.0
1607,0.0
1608,0.4588
1609,0.0
1610,0.0
1611,-0.34
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,-0.34
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.34
1623,0.0
1624,0.2263
1625,0.4767
1626,0.9118
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,-0.1531
1633,0.0
1634,0.0
1635,0.0
1636,-0.25
1637,0.3612
1638,0.0
1639,0.0
1640,-0.34
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.7506
1646,0.3612
1647,0.4939
1648,0.0
1649,-0.34
1650,0.0
1651,0.0
1652,0.4767
1653,0.3612
1654,0.5574
1655,-0.3182
1656,0.0
1657,0.0
1658,-0.4767
1659,0.0
1660,0.0
1661,0.0
1662,-0.296
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.3612
1670,0.6705
1671,0.9081
1672,0.0
1673,0.6908
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,-0.4019
1679,0.0
1680,0.0
1681,0.6597
1682,0.4588
1683,0.0
1684,0.4019
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.7184
1690,0.9451
1691,0.7184
1692,-0.296
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.5859
1700,0.0
1701,0.0
1702,0.34
1703,0.5859
1704,0.5859
1705,0.5859
1706,0.5859
1707,0.5859
1708,0.5859
1709,0.5859
1710,0.5859
1711,-0.2187
1712,0.3612
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,-0.2187
1718,0.3612
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.802
1725,0.0
1726,0.0
1727,-0.4767
1728,0.0
1729,0.3612
1730,0.6808
1731,0.2732
1732,-0.1779
1733,-0.296
1734,0.0
1735,0.6124
1736,0.0
1737,0.4404
1738,0.6124
1739,0.0
1740,0.3182
1741,-0.3818
1742,0.0
1743,0.7506
1744,0.6369
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.3612
1751,0.0
1752,0.0
1753,-0.7003
1754,0.3612
1755,0.2023
1756,0.4404
1757,-0.4939
1758,0.0
1759,0.0
1760,0.0
1761,0.5994
1762,0.3182
1763,0.4215
1764,0.4215
1765,0.3612
1766,0.6369
1767,0.0
1768,0.4215
1769,0.4588
1770,0.0
1771,0.3612
1772,0.6369
1773,0.0
1774,0.4215
1775,0.4588
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.296
1785,0.836
1786,-0.4588
1787,0.0
1788,0.3612
1789,0.7717
1790,0.0
1791,-0.7096
1792,0.7717
1793,0.1779
1794,0.7717
1795,0.9337
1796,0.5859
1797,0.2263
1798,0.8225
1799,-0.7306
1800,0.9349
1801,0.9287
1802,0.6369
1803,0.0
1804,0.6369
1805,0.0
1806,0.0
1807,0.4939
1808,0.8402
1809,0.0
1810,0.0
1811,0.9081
1812,0.9081
1813,0.296
1814,0.7269
1815,0.5267
1816,0.6705
1817,0.7717
1818,0.0
1819,0.0772
1820,0.0
1821,0.0
1822,0.0
1823,-0.34
1824,-0.5106
1825,0.0772
1826,0.0
1827,0.0
